Root,RelativePath,Size,Version,Description,SHA256,Category,Purpose,Recommendation,Evidence
A,7ZSplit.exe,9728,"0, 2, 0, 1017",7z SFX Archives splitter,4d32f7017afad3fea254a9d550c1ada112b2f32e4a627518761ce7c0593a965d,安装包与封装,7z SFX 的模块、配置与归档拆分；SfxSplit 的作者信息指向 7zsfx。,已有 PE + ZIP/7z；补识别和精确边界，不重做一套压缩引擎。,本地版本资源、静态字符串；上游工具表
A,acefile.exe,6098939,,,0fc10efb7125f3e184544a3384a1f602ab284d92b01a36cd6c7858bac64870d0,通用归档,ACE 归档，两套工具。,不做历史格式专项。,本地 xace 版本资源；上游 acefile 工具表
A,arc.exe,84480,5.21j.1926,Arc: create and extract files from DOS .ARC files,802695c1cba1bab7aa0c3531b40d769587a925201aee4f7d58d85b99f4f7ff33,通用归档,传统 DOS ARC 归档。,不做。,本地 FileDescription
A,arj.exe,270443,,,00ac8169236b8f9910c661e6d8b82c2f2e5800338a9c7775d691e622f3521ac9,通用归档,ARJ 归档及相应自解压包。,不做历史格式专项。,本地 arj 说明
A,AspackDie.exe,13312,,,465e075688109b59ce08d12499751a6eff19cc825941e9d4dec9b792ae5220d5,识别、宿主及可执行程序封装,ASPack 可执行文件脱壳；配套 ForceLibrary.dll。,不做。,本地 aspackdie 说明；ForceLibrary 版本资源
A,Bio.cs.dll,13824,1.0.0.0,Bio.cs,00d84cd0d109c738b56e29fe6b8407c017679274fb5ac3120ab5940415323004,配套库,Bio.cs,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,BMS.db,492544,,,425e543da9b14e06e0efec29c5333274cf3c4b7e746c9b0d1326f5996d4b4ace,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,bsab.exe,2661888,1.9.5.0,BSA Browser CLI,85b0ae4a39a80528e7a0823518d2f00d55e80c7a86ad8799f5b93abf8f9fcaba,游戏与多媒体资源,Bethesda BSA/BA2 游戏资源。,不做。,A/def/bsa.ini；版本资源
A,Champollion.exe,1460736,,,b4f2cd412d039f52f283b4a342639cdd7fc756b26ae4a40017926138e933947a,游戏与多媒体资源,Papyrus PEX 游戏脚本反编译。,不做。,A/def/pex.ini
A,cicdec.exe,18944,2.1.0.0,cicdec,db11afc66b7d2a39344c78fc93442824b6b9f91fd7771df2fa8a6f3a4bf1f831,安装包与封装,Clickteam Install Creator 安装包。,候选扩展；有近期失败样本再投入。,本地版本资源；作者 cicdec 仓库
A,clit.exe,46080,,,e87bf25bf6251c9e5cbdf5154eed9bf45e3189501c6a6e9e6d6adea6bdb55078,文档、邮件与数据转换,分别反编译 WinHelp HLP、展开 Microsoft Reader LIT 电子书。,不做。,本地作者说明；A/def/lit.ini
A,daa2iso.exe,33792,,,d75498d5d7778ce42606a4c91f9d5cf3daaa6a96eff5eb71faefd9b969d0c28b,镜像与固件,分别把 DAA、UIF 镜像转换成 ISO。,不做专用转换器。,本地作者说明
A,dbxplug.wcx,95744,1.0.7.9,Plugin for Windows Commander: Outlook Expres 5.X  DBX-File reader,7713e74d93bea2e66143da6eace4e5530167a985787aa0e66f8fdb1e00e25ce1,WCX 插件,Outlook Express DBX 邮件库插件,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
A,demoleition.exe,650240,0.6.1.0,de-mole-ition - static Molebox 2.x unpacker,0de41de429b7784fee0bf1c955bafe93e1e83d9ae57dd12722a40bfa45377050,识别、宿主及可执行程序封装,MoleBox 2.x 静态拆包。,不纳入近期安装包主线。,本地 FileDescription；作者说明
A,E_WISE_W.EXE,38400,,,f25cf0f24f9aa398fa54b0a3559d670db7c3a12f44340a2730d35584772354df,安装包与封装,Wise Installer 静态载荷提取；E_WISE.INI 提供配套信息。,低优先级；遇到实际近期样本再排期。,本地 ewise / wun 作者说明
A,E_WISE.INI,1583,,,81607ec83cd1c1cd75bee81a1d76773a3174e9a3df71c3e0dcad4d9d0842e66e,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,EnigmaVBUnpacker.exe,629760,0.5.8.0,EnigmaVBUnpacker - static Enigma Virtual Box unpacker,173a3f1cdfe9734d93207af7b930dc38d37238a2b2070159c3a4d311f3baa41d,识别、宿主及可执行程序封装,Enigma Virtual Box 单文件虚拟文件系统的静态拆包。,可选扩展，排在常见安装包之后；提取完成不代表程序能脱离虚拟化运行。,本地 FileDescription；作者说明
A,exeinfope.exe,1735680,0.0.6.0,ExEinfo PE - Win32 exe identifier,c0aa4c6cb0c2dc5ef4764b4fb96cdf1a3a04d861fceef905101ff2d5db05b143,识别、宿主及可执行程序封装,PE 文件、编译器和壳的识别；不是应用文件提取器。,参考识别特征；识别结果只能作为解析候选。,本地说明、版本资源
A,exeinfopeRUN.cfg,222,,,19f03e24c7bbc4c3f7d5455b4780193bef405dd5415141420bbf9dd82382d48a,规则或配置数据,对应检测器、游戏/归档解释器、插件的配套数据,不算作新增格式,本地路径及配置
A,Ext_Detector.dll,105984,0.5.5.2,Exeinfope non exe detector library by A.S.L,2f9c209452eae5efec4a2d338a4fc6c710c0e90ee665d40b57379d0a62430024,配套库,Exeinfope non exe detector library by A.S.L,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,ForceLibrary.dll,12800,[ ForceLibrary 1.4 BETA ] by yoda,Making processes load your dlls >:-),a405bef4730c5317da59ac48bc44a4af24cc1911a0531d393d229233dd84f35b,配套库,Making processes load your dlls >:-),不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,Foundation.1.0.dll,2446468,,,908fe0c74666577eadfc5948deff2bbf6d1da223dcb8239e84248c491ef3c38f,配套库,配套库；具体职责以所属工具为准，未动态加载确认,不按 DLL 数量计格式；保留本项目原生基础库边界,本地文件版本资源/路径
A,fsbext.exe,102912,,,84cc08c23ac69234f51a66f85b98d06ec271f83dc62fb723e776834a00d67ed0,游戏与多媒体资源,FMOD FSB 音频资源包。,不做。,上游工具表与作者说明
A,gaup_pro.wcx,98816,0.6.0.1 PRO,Game Archive UnPacker plugin for Total Commander,c7776ffdbdfba8b00a032b26866bae7afab1ca1237ded721c1593f6cdce62784,WCX 插件,Game Archive UnPacker 游戏资源插件,按格式选择解析能力；不复制插件宿主,本地插件作者说明、版本资源及配置
